1, Adúpẹ́,
1, Aitäh,
1, Anda sungguh baik hati,
1, Asante,
1, Asante Sana,
1, Baie dankie,
1, Bedankt,
1, Cảm ơn,
1, Cảm ơn bạn,
1, Cảm ơn bạn rất nhiều,
1, Daalụ,
1, Daalụ nke ukwuu,
6, Danke,
8, Danke sehr,
10, Dankeschön,
1, Dankie,
1, Dankjewel,
1, Danko,
1, Dankon,
1, Dankuwel,
1, Diolch,
1, Diolch yn fawr,
1, Diolch yn fawr iawn,
1, Dit is baie gaaf van jou,
1, Dzięki,
1, Dziękujęrefuse,
1, Díky moc!,
1, Děkuji vám,
1, Este foarte amabil din partea dumneavoastră,
1, Ez nagyon kedves tőled,
1, Faʻafetai,
6, Gracias,
8, Grazie,
3, Grazie mille,
3, Grazzi,
1, Hvala,
1, Hvala najljepša literary,
1, Katta rahmat,
1, Kiitos,
1, Kiitos paljon!,
1, Kiitos ystävällisistä sanoistasi!,
1, Kærar þakkir,
1, Köszönöm,
1, Köszönöm a kedves szavakat,
1, Liels paldies,
4, Mahalo,
5, Mahalo nui loa,
1, Mange tak,
4, Merci,
4, Merci beaucoup,
4, Merci mille fois,
4, Molte grazie,
1, Muchas gracias,
1, Muito obrigado,
1, Mulţumesc,
1, Na gode,
1, Napakabuti ninyo,
1, Nirringrazzjak,
1, Obrigado,
1, Paldies,
1, Paldies par jūsu viesmīlību,
1, Puno hvala,
1, Rahmat,
1, Rov todot,
1, Salamat sa iyong mga papuri,
1, Salamat sa-LAH-mat,
1, Shukran sana,
1, Shurkan,
1, Stokrotne dzięki,
1, Tak,
1, Tak skal du have,
1, Takk,
1, Takk for hjelpen,
1, Takk skal du ha,
1, Terima kasih,
1, Terima kasih banyak,
1, Teşekkür ederim,
1, Teşekkürler,
10, Thank you,
10, Thanks a million,
10, Thanks mate,
5, Thanks!,
1, To je od vás velmi laskavé,
1, Toda,
1, Toda raba,
1, Tusen takk,
1, Tänan,
1, Tänan väga,
1, Tēnā koe,
1, Tēnā rawa atu koe,
1, Vă mulțumim pentru cuvintele frumoase,
1, Wielkie dzięki,
1, Çok teşekkürler,
2, Ďakujem,
2, Ďakujem mnohokrát,
2, Ďakujeme,
1, Σας ευχαριστούμε!,
1, Σας ευχαριστώ!,
1, Σ’ ευχαριστώ!,
1, Благодарю,
1, Большое спасибо,
1, Спасибо,
1, ده كرم منك,
1, شكرا على كلامك اللطيف,
1, شكرًا  Thank you,
1, धन्यवाद,
1, बहुत शुक्रिया or बहुत धन्यवाद,
1, शुक्रिया,
1, ขอบคุณ,
1, ขอบใจนะ,
3, ありがとう,
3, ありがとうございます,
3, どうもありがとう,
3, どうもありがとうございます,
1, 多谢,
1, 感谢,
1, 谢谢,
1, 감사합니다,
1, 고마워,
1, 대단히 감사합니다,
1, 정말 고마워,